Point precipitation frequency estimates (inches)
NOAA Atlas 14 Volume 9 Version 2
Data type: Precipitation depth
Time series type: Partial duration
Project area: Southeastern States
Location name (ESRI Maps): None
Station Name: None
Latitude: 30.0000°
Longitude: -90.0000°
Elevation (USGS): None None


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 0.553,0.629,0.758,0.870,1.03,1.16,1.29,1.44,1.63,1.78
10-min:, 0.809,0.921,1.11,1.27,1.51,1.70,1.90,2.10,2.39,2.61
15-min:, 0.987,1.12,1.35,1.55,1.84,2.07,2.31,2.56,2.91,3.18
30-min:, 1.50,1.72,2.09,2.41,2.87,3.24,3.62,4.02,4.56,4.99
60-min:, 2.03,2.32,2.85,3.34,4.08,4.71,5.39,6.13,7.20,8.06
2-hr:, 2.56,2.92,3.60,4.26,5.28,6.18,7.16,8.25,9.83,11.1
3-hr:, 2.90,3.29,4.08,4.86,6.13,7.27,8.54,9.96,12.1,13.8
6-hr:, 3.46,3.94,4.93,5.93,7.58,9.07,10.8,12.7,15.5,17.8
12-hr:, 4.03,4.65,5.85,7.05,8.98,10.7,12.6,14.7,17.9,20.5
24-hr:, 4.63,5.42,6.89,8.28,10.4,12.3,14.4,16.6,19.9,22.5
2-day:, 5.27,6.23,7.98,9.57,12.0,14.1,16.3,18.7,22.1,24.9
3-day:, 5.67,6.68,8.51,10.2,12.8,15.0,17.3,19.9,23.6,26.5
4-day:, 6.02,7.04,8.90,10.6,13.3,15.6,18.1,20.8,24.7,27.8
7-day:, 6.99,8.05,10.0,11.8,14.7,17.1,19.8,22.7,26.9,30.3
10-day:, 7.92,9.05,11.1,13.0,16.0,18.5,21.2,24.2,28.5,32.0
20-day:, 10.7,12.1,14.6,16.8,20.0,22.6,25.4,28.4,32.5,35.8
30-day:, 13.0,14.7,17.5,20.0,23.4,26.2,29.0,31.9,35.8,38.9
45-day:, 15.9,17.9,21.2,24.0,27.8,30.7,33.5,36.4,40.3,43.2
60-day:, 18.3,20.6,24.3,27.4,31.4,34.5,37.5,40.5,44.3,47.1

Date/time (GMT):  Wed Nov  6 05:58:15 2019
pyRunTime:  0.023087978363
