Station_ID,MonDate,Salinity,Water_Level,Water_Temperature,GEOID
"CRMS0324-H01","8/1/2016 12:00:00 AM","0.15","1.15","30.09","GEOID12A  "
"CRMS0324-H01","8/1/2016 1:00:00 AM","0.14","1.15","30","GEOID12A  "
"CRMS0324-H01","8/1/2016 2:00:00 AM","0.14","1.14","29.92","GEOID12A  "
"CRMS0324-H01","8/1/2016 3:00:00 AM","0.14","1.13","29.84","GEOID12A  "
"CRMS0324-H01","8/1/2016 4:00:00 AM","0.14","1.12","29.78","GEOID12A  "
"CRMS0324-H01","8/1/2016 5:00:00 AM","0.14","1.11","29.77","GEOID12A  "
"CRMS0324-H01","8/1/2016 6:00:00 AM","0.14","1.1","29.73","GEOID12A  "
"CRMS0324-H01","8/1/2016 7:00:00 AM","0.14","1.1","29.72","GEOID12A  "
"CRMS0324-H01","8/1/2016 8:00:00 AM","0.13","1.09","29.9","GEOID12A  "
"CRMS0324-H01","8/1/2016 9:00:00 AM","0.13","1.09","30.13","GEOID12A  "
"CRMS0324-H01","8/1/2016 10:00:00 AM","0.13","1.09","30.2","GEOID12A  "
"CRMS0324-H01","8/1/2016 11:00:00 AM","0.13","1.1","30.32","GEOID12A  "
"CRMS0324-H01","8/1/2016 12:00:00 PM","0.13","1.1","30.25","GEOID12A  "
"CRMS0324-H01","8/1/2016 1:00:00 PM","0.13","1.11","30.32","GEOID12A  "
"CRMS0324-H01","8/1/2016 2:00:00 PM","0.14","1.11","30.44","GEOID12A  "
"CRMS0324-H01","8/1/2016 3:00:00 PM","0.14","1.11","30.63","GEOID12A  "
"CRMS0324-H01","8/1/2016 4:00:00 PM","0.14","1.12","30.66","GEOID12A  "
"CRMS0324-H01","8/1/2016 5:00:00 PM","0.14","1.12","30.76","GEOID12A  "
"CRMS0324-H01","8/1/2016 6:00:00 PM","0.14","1.11","30.71","GEOID12A  "
"CRMS0324-H01","8/1/2016 7:00:00 PM","0.14","1.12","30.66","GEOID12A  "
"CRMS0324-H01","8/1/2016 8:00:00 PM","0.13","1.12","30.63","GEOID12A  "
"CRMS0324-H01","8/1/2016 9:00:00 PM","0.13","1.11","30.56","GEOID12A  "
"CRMS0324-H01","8/1/2016 10:00:00 PM","0.13","1.11","30.51","GEOID12A  "
"CRMS0324-H01","8/1/2016 11:00:00 PM","0.13","1.11","30.46","GEOID12A  "
"CRMS0324-H01","8/2/2016 12:00:00 AM","0.13","1.1","30.39","GEOID12A  "
"CRMS0324-H01","8/2/2016 1:00:00 AM","0.13","1.1","30.35","GEOID12A  "
"CRMS0324-H01","8/2/2016 2:00:00 AM","0.13","1.09","30.31","GEOID12A  "
"CRMS0324-H01","8/2/2016 3:00:00 AM","0.13","1.08","30.26","GEOID12A  "
"CRMS0324-H01","8/2/2016 4:00:00 AM","0.13","1.07","30.18","GEOID12A  "
"CRMS0324-H01","8/2/2016 5:00:00 AM","0.14","1.06","30.23","GEOID12A  "
"CRMS0324-H01","8/2/2016 6:00:00 AM","0.15","1.05","30.18","GEOID12A  "
"CRMS0324-H01","8/2/2016 7:00:00 AM","0.14","1.04","30.2","GEOID12A  "
"CRMS0324-H01","8/2/2016 8:00:00 AM","0.15","1.04","30.27","GEOID12A  "
"CRMS0324-H01","8/2/2016 9:00:00 AM","0.15","1.03","30.5","GEOID12A  "
"CRMS0324-H01","8/2/2016 10:00:00 AM","0.16","1.03","30.69","GEOID12A  "
"CRMS0324-H01","8/2/2016 11:00:00 AM","0.14","1.04","30.88","GEOID12A  "
"CRMS0324-H01","8/2/2016 12:00:00 PM","0.13","1.04","31.09","GEOID12A  "
"CRMS0324-H01","8/2/2016 1:00:00 PM","0.13","1.04","31.19","GEOID12A  "
"CRMS0324-H01","8/2/2016 2:00:00 PM","0.12","1.06","31.28","GEOID12A  "
"CRMS0324-H01","8/2/2016 3:00:00 PM","0.12","1.06","31.29","GEOID12A  "
"CRMS0324-H01","8/2/2016 4:00:00 PM","0.13","1.07","31.34","GEOID12A  "
"CRMS0324-H01","8/2/2016 5:00:00 PM","0.13","1.08","31.28","GEOID12A  "
"CRMS0324-H01","8/2/2016 6:00:00 PM","0.13","1.08","31.3","GEOID12A  "
"CRMS0324-H01","8/2/2016 7:00:00 PM","0.13","1.09","31.27","GEOID12A  "
"CRMS0324-H01","8/2/2016 8:00:00 PM","0.13","1.09","31.18","GEOID12A  "
"CRMS0324-H01","8/2/2016 9:00:00 PM","0.12","1.09","31.17","GEOID12A  "
"CRMS0324-H01","8/2/2016 10:00:00 PM","0.12","1.09","31.22","GEOID12A  "
"CRMS0324-H01","8/2/2016 11:00:00 PM","0.12","1.09","31.12","GEOID12A  "
"CRMS0324-H01","8/3/2016 12:00:00 AM","0.12","1.09","31.1","GEOID12A  "
"CRMS0324-H01","8/3/2016 1:00:00 AM","0.12","1.08","30.99","GEOID12A  "
"CRMS0324-H01","8/3/2016 2:00:00 AM","0.12","1.07","30.97","GEOID12A  "
"CRMS0324-H01","8/3/2016 3:00:00 AM","0.12","1.06","30.86","GEOID12A  "
"CRMS0324-H01","8/3/2016 4:00:00 AM","0.12","1.05","30.78","GEOID12A  "
"CRMS0324-H01","8/3/2016 5:00:00 AM","0.12","1.04","30.83","GEOID12A  "
"CRMS0324-H01","8/3/2016 6:00:00 AM","0.12","1.03","30.76","GEOID12A  "
"CRMS0324-H01","8/3/2016 7:00:00 AM","0.12","1.02","30.74","GEOID12A  "
"CRMS0324-H01","8/3/2016 8:00:00 AM","0.12","1.01","30.72","GEOID12A  "
"CRMS0324-H01","8/3/2016 9:00:00 AM","0.12","1.02","30.58","GEOID12A  "
"CRMS0324-H01","8/3/2016 10:00:00 AM","0.11","1.03","30.56","GEOID12A  "
